timestamp,session_id,pair,buy_venue,sell_venue,gross_bps,simulated_usd,actual_usd,gas_eth,tx_hash,block,elapsed_ms,success,error
2026-02-24T09:14:23.336184+00:00,2026-02-24T09:14:15Z,ETH/USDT,uniswap_v3,curve,7.9399,0.274,0,0,,,0,False,On-chain revert -- profitability gate protected
2026-02-24T09:15:25.832230+00:00,2026-02-24T09:14:21Z,ETH/USDT,uniswap_v3,curve,7.9399,0.274,0,0,,,0,False,On-chain revert -- profitability gate protected
2026-02-24T09:16:29.146318+00:00,2026-02-24T09:14:21Z,ETH/USDT,uniswap_v3,curve,11.5897,0.639,0,0,,,0,False,On-chain revert -- profitability gate protected
2026-02-24T12:41:03.754554+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,9.4582,0.4258,0,0,,,0,False,Edge 9.4582bps below minimum 15bps
2026-02-24T12:42:03.959597+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,7.4788,0.2279,0,0,,,0,False,Edge 7.4788bps below minimum 15bps
2026-02-24T12:43:04.157194+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,6.8478,0.1648,0,0,,,0,False,Edge 6.8478bps below minimum 15bps
2026-02-24T12:44:04.364447+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,6.8724,0.1672,0,0,,,0,False,Edge 6.8724bps below minimum 15bps
2026-02-24T12:45:04.571318+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,6.1669,0.0967,0,0,,,0,False,Edge 6.1669bps below minimum 15bps
2026-02-24T12:47:04.777985+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,5.8765,0.0677,0,0,,,0,False,Edge 5.8765bps below minimum 15bps
2026-02-24T13:22:05.273273+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,7.9027,0.2703,0,0,,,0,False,Edge 7.9027bps below minimum 15bps
2026-02-24T13:23:05.486448+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,10.4887,0.5289,0,0,,,0,False,Edge 10.4887bps below minimum 15bps
2026-02-24T13:24:05.688699+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,14.9735,0.9773,0,0,,,0,False,Edge 14.9735bps below minimum 15bps
2026-02-24T13:25:05.903585+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,11.6379,0.6438,0,0,,,0,False,Edge 11.6379bps below minimum 15bps
2026-02-24T13:51:06.351895+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,11.2317,0.6032,0,0,,,0,False,Edge 11.2317bps below minimum 15bps
2026-02-24T13:52:06.557299+00:00,2026-02-24T12:09:04Z,ETH/USDT,uniswap_v3,curve,11.2317,0.6032,0,0,,,0,False,Edge 11.2317bps below minimum 15bps
